target,model,n,CV_BalancedAcc,train_BalancedAcc,CV_MacroF1,train_MacroF1
Grain Shape,Dummy(freq),311,0.167 ± 0.000,0.167,0.100 ± 0.001,0.100
Grain Shape,RandomForest,311,0.684 ± 0.067,0.924,0.663 ± 0.063,0.886
Grain Shape,XGBoost,311,0.702 ± 0.066,0.946,0.704 ± 0.062,0.954
Grain Shape,LightGBM,311,0.695 ± 0.064,0.951,0.698 ± 0.060,0.957
Grain Shape,CatBoost,311,0.636 ± 0.068,0.876,0.650 ± 0.063,0.897
Microstructure_ Plane,Dummy(freq),315,0.500 ± 0.000,0.500,0.344 ± 0.000,0.344
Microstructure_ Plane,RandomForest,315,0.800 ± 0.048,0.933,0.799 ± 0.047,0.931
Microstructure_ Plane,XGBoost,315,0.799 ± 0.038,0.957,0.799 ± 0.038,0.957
Microstructure_ Plane,LightGBM,315,0.805 ± 0.035,0.953,0.805 ± 0.035,0.953
Microstructure_ Plane,CatBoost,315,0.807 ± 0.043,0.968,0.807 ± 0.043,0.968
