target,model,n,MICE_kf,MICE_grp,MED_kf,MED_grp
Hardness (HV),RandomForest,173,0.554,0.559,0.554,0.563
Hardness (HV),XGBoost,173,0.432,0.515,0.453,0.561
Yield Stress (MPa),RandomForest,249,0.555,0.407,0.528,0.384
Yield Stress (MPa),XGBoost,249,0.685,0.564,0.669,0.496
Ultimate Tensile Strength (MPa),RandomForest,291,0.633,0.551,0.626,0.532
Ultimate Tensile Strength (MPa),XGBoost,291,0.692,0.602,0.684,0.562
Relative Density %,RandomForest,447,0.542,0.551,0.575,0.582
Relative Density %,XGBoost,447,0.657,0.701,0.705,0.716
Microstructure Average Grain Size(µm),RandomForest,202,0.258,-2.235,0.411,-0.683
Microstructure Average Grain Size(µm),XGBoost,202,0.636,-5.928,0.804,0.22
Grain Shape,RandomForest,311,0.684,0.601,0.699,0.64
Grain Shape,XGBoost,311,0.702,0.595,0.703,0.632
Microstructure_ Plane,RandomForest,315,0.8,0.802,0.803,0.805
Microstructure_ Plane,XGBoost,315,0.799,0.789,0.802,0.811
