target,model,n,CV_R2,train_R2,CV_RMSE,train_RMSE,CV_MAE,train_MAE
Hardness (HV),Dummy(median),173,-0.051 ± 0.072,-0.001,42.235 ± 7.968,42.692,30.124 ± 4.017,29.855
Hardness (HV),RandomForest,173,0.554 ± 0.200,0.748,27.036 ± 8.889,21.371,17.063 ± 3.868,13.133
Hardness (HV),XGBoost,173,0.432 ± 0.434,0.890,28.837 ± 9.565,13.865,17.872 ± 4.209,6.489
Hardness (HV),LightGBM,173,0.493 ± 0.278,0.812,28.088 ± 8.416,18.424,17.754 ± 3.516,11.637
Hardness (HV),CatBoost,173,0.485 ± 0.416,0.863,27.481 ± 9.451,15.586,16.935 ± 3.829,9.080
Yield Stress (MPa),Dummy(median),249,-0.086 ± 0.093,-0.064,154.250 ± 22.348,155.168,110.840 ± 18.131,110.072
Yield Stress (MPa),RandomForest,249,0.555 ± 0.090,0.728,97.860 ± 14.603,78.343,70.599 ± 10.465,54.390
Yield Stress (MPa),XGBoost,249,0.685 ± 0.116,0.883,80.696 ± 15.824,51.448,53.629 ± 9.021,26.297
Yield Stress (MPa),LightGBM,249,0.650 ± 0.110,0.839,85.632 ± 13.914,60.192,59.112 ± 8.815,38.093
Yield Stress (MPa),CatBoost,249,0.669 ± 0.105,0.862,83.383 ± 15.653,55.812,56.880 ± 8.826,34.417
Ultimate Tensile Strength (MPa),Dummy(median),291,-0.054 ± 0.055,-0.030,213.037 ± 23.753,213.950,152.148 ± 18.582,151.819
Ultimate Tensile Strength (MPa),RandomForest,291,0.633 ± 0.083,0.796,124.716 ± 18.759,95.038,83.631 ± 8.772,63.163
Ultimate Tensile Strength (MPa),XGBoost,291,0.692 ± 0.111,0.951,112.707 ± 24.045,45.955,62.828 ± 9.380,23.131
Ultimate Tensile Strength (MPa),LightGBM,291,0.685 ± 0.089,0.899,114.951 ± 18.626,66.678,74.579 ± 6.775,43.615
Ultimate Tensile Strength (MPa),CatBoost,291,0.686 ± 0.101,0.924,114.185 ± 21.648,57.861,70.033 ± 8.818,37.986
Relative Density %,Dummy(median),447,-0.163 ± 0.046,-0.159,7.321 ± 0.953,7.375,3.976 ± 0.514,3.969
Relative Density %,RandomForest,447,0.542 ± 0.090,0.711,4.561 ± 0.683,3.680,2.788 ± 0.313,2.205
Relative Density %,XGBoost,447,0.657 ± 0.091,0.967,3.910 ± 0.458,1.235,2.353 ± 0.242,0.757
Relative Density %,LightGBM,447,0.522 ± 0.121,0.794,4.634 ± 0.700,3.105,2.800 ± 0.346,1.779
Relative Density %,CatBoost,447,0.648 ± 0.086,0.893,3.975 ± 0.547,2.239,2.480 ± 0.280,1.527
Microstructure Average Grain Size(µm),Dummy(median),202,-0.094 ± 0.035,-0.087,58.942 ± 18.456,61.647,20.369 ± 6.794,20.316
Microstructure Average Grain Size(µm),RandomForest,202,0.258 ± 0.654,0.668,43.817 ± 12.708,33.897,19.336 ± 4.912,14.515
Microstructure Average Grain Size(µm),XGBoost,202,0.636 ± 0.227,0.999,30.468 ± 13.457,2.116,10.033 ± 3.747,1.007
Microstructure Average Grain Size(µm),LightGBM,202,0.445 ± 0.500,0.924,35.288 ± 9.198,16.077,17.400 ± 4.102,9.128
Microstructure Average Grain Size(µm),CatBoost,202,0.662 ± 0.226,0.995,29.831 ± 13.239,4.075,10.717 ± 3.837,2.596
